agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
PoG,WebQTest-832_c334509bb5e02cacae1ba2e80c176499,0,2,2,1,0.9524698628184344,0.9010582010582009,0.9786821705426356,1.0,1.0,1.0,2,189,227
PoG,WebQTrn-1259_1997cb4922db71983be26e6a509950f4,0,4,4,1,0.9070573132765896,0.9005102040816324,0.850688418354119,1.0,0.6666666666666666,1.0,4,784,1124
PoG,WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,1,6,4,1,0.7207022682187442,0.9003174603174601,0.48958002890275276,0.806451612903226,0.6,0.6666666666666666,4,1260,2990
PoG,WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,1,27,16,1,0.3876797141459109,0.5350041074539219,0.09297652479456696,0.7981008833293319,0.5384615384615384,0.5925925925925926,4,1991,3496
PoG,WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,0,3,3,1,0.29807653680593715,0.019736842105263157,0.4692982456140351,1.0,1.0,1.0,1,38,62
PoG,WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,1,12,8,1,0.5777430042099474,0.7288115686045968,0.3035960020246232,0.8155088208910596,0.5454545454545454,0.6666666666666666,4,1862,3778
PoG,WebQTest-590_6aad73acb74f304bc9acae44314164be,0,13,5,1,0.5343692505982786,0.6540238943222547,0.2448858195746163,0.8784779050736495,0.3333333333333333,0.38461538461538464,2,241,437
PoG,WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,1,12,8,1,0.7453514215711543,0.9525826211903498,0.4617596361911593,0.8843587348191646,0.45454545454545453,0.6666666666666666,7,1889,3794
PoG,WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,0,10,4,1,0.6303744024457029,0.8700243736417531,0.2784703903691246,0.8923809523809523,0.4444444444444444,0.4,3,1027,1695
PoG,WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,0,4,2,1,0.7823999146289269,0.9412375859434683,0.4958740118979708,1.0,0.3333333333333333,0.5,2,1925,2437
PoG,WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,1,10,5,1,0.6544965207804019,0.8893645357686453,0.3615657418951038,0.7837837837837838,0.4444444444444444,0.5,5,1168,2547
PoG,WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,1,4,2,1,0.7659414022384737,0.9001353179972934,0.492719510568145,1.0,0.3333333333333333,0.5,2,1478,2016
PoG,WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,0,7,4,1,0.5407340011015618,0.5461923447075117,0.43076392860809243,0.705685618729097,0.5,0.5714285714285714,2,191,273
PoG,WebQTrn-849_586aae7703d62aa44eb79759e1563309,1,8,6,1,0.5533884158566268,0.5477555550600383,0.3414787462806447,0.9473684210526315,0.42857142857142855,0.75,3,1991,3655
PoG,WebQTrn-710_c264a6d11d7956741926d417b94327e2,0,7,4,1,0.19878143445511312,0.003787878787878788,0.2426948051948052,0.8717948717948718,0.5,0.5714285714285714,1,132,162
PoG,WebQTrn-2209_c1374f388d9cc7a78365860c91218362,0,12,4,1,0.4603144061076039,0.5439954190812667,0.17109657532111236,0.9113924050632911,0.2727272727272727,0.3333333333333333,2,1188,2121
PoG,WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,1,12,4,1,0.6113511608397475,0.870225014321858,0.24335658957011166,0.8917925683952633,0.2727272727272727,0.3333333333333333,3,987,2245
PoG,WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1984,3844
PoG,WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,0,6,3,1,0.632726390291235,0.7188368475548369,0.3639841566350753,0.9615384615384616,0.4,0.5,2,333,385
PoG,WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,0,14,7,1,0.4158184543005936,0.45458001186777713,0.18806656172420624,0.7982809562181037,0.38461538461538464,0.5,2,1943,5674
