agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
PoG,WebQTest-0,1,6,3,1,0.6134438488269556,0.96006006006006,0.18638638638638638,0.9230769230769232,0.4,0.5,3,1998,4000
PoG,WebQTest-1,0,10,6,1,0.5902111335138354,0.5857339716541502,0.4331274602062309,0.8595180722891566,0.5555555555555556,0.6,3,1959,3389
PoG,WebQTest-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1550,1770
PoG,WebQTest-6,1,2,2,1,0.9220677110795117,0.875484496124031,0.9214587737843551,1.0,1.0,1.0,2,516,760
PoG,WebQTest-7,1,2,2,1,0.9539864755586779,0.9168488160291438,0.9643993149009054,1.0,1.0,1.0,2,915,1363
PoG,WebQTest-8,1,16,5,1,0.6320285678073528,0.9152542993739514,0.24001352916518834,0.9281968535699878,0.26666666666666666,0.3125,4,1867,3389
PoG,WebQTest-9,1,3,3,1,0.7407329939959366,0.711253657314491,0.6098049981697781,1.0,1.0,1.0,2,1431,3635
PoG,WebQTest-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1756,4262
PoG,WebQTest-13,1,2,2,1,0.8151898775896769,0.9615789473684211,0.5545488721804511,1.0,1.0,1.0,2,1900,3980
PoG,WebQTest-14,1,4,3,1,0.6269230607721453,0.748455712733901,0.43068910256410253,0.7467532467532467,0.6666666666666666,0.75,2,144,263
PoG,WebQTest-16,1,6,4,1,0.5763774131274608,0.9524769585253452,0.1700004993326566,0.8064516129032259,0.6,0.6666666666666666,4,1984,4813
PoG,WebQTest-19,1,2,2,1,0.9187189997177403,0.9445023449713392,0.834645448350503,1.0,1.0,1.0,2,1919,4712
PoG,WebQTest-20,1,4,3,1,0.7845522860875062,0.9565905338470005,0.5649573264288454,0.857142857142857,0.6666666666666666,0.75,3,1896,5673
