agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
PoG,WebQTest-0,1,6,3,1,0.6128818647876269,0.96006006006006,0.18550216883550216,0.9230769230769232,0.4,0.5,3,1998,4000
PoG,WebQTest-1,0,16,9,1,0.6178796943641681,0.7981729521847662,0.37779540186527927,0.7297493116939574,0.5333333333333333,0.5625,5,1959,3389
PoG,WebQTest-3,0,4,3,1,0.6956502320224063,0.9546334310850437,0.36612903225806454,0.8571428571428571,0.6666666666666666,0.75,3,1550,1770
PoG,WebQTest-6,1,2,2,1,0.9147428321474503,0.8576965669988925,0.9214587737843551,1.0,1.0,1.0,2,516,760
PoG,WebQTest-7,1,2,2,1,0.958823766666162,0.9287275565964088,0.9643993149009054,1.0,1.0,1.0,2,915,1363
PoG,WebQTest-8,1,18,5,1,0.6101916672314737,0.9161746222810158,0.21338255499680137,0.8956948563247775,0.23529411764705882,0.2777777777777778,4,1867,3389
PoG,WebQTest-9,1,3,3,1,0.738121624595927,0.7048652220367734,0.6098049981697781,1.0,1.0,1.0,2,1431,3635
PoG,WebQTest-12,0,2,2,1,0.8708695555438679,0.9545972250983638,0.6978929384965831,1.0,1.0,1.0,2,1756,4262
PoG,WebQTest-13,1,4,3,1,0.7084536330772576,0.9565903890160183,0.39159022556390977,0.8571428571428571,0.6666666666666666,0.75,3,1900,3980
PoG,WebQTest-14,0,2,2,1,0.28889267658086915,0.001984126984126983,0.5,1.0,1.0,1.0,1,144,263
PoG,WebQTest-16,1,16,5,1,0.4381470124491753,0.6835518314491118,0.06375018724974622,0.9435959736202708,0.26666666666666666,0.3125,3,1984,4813
PoG,WebQTest-19,1,4,3,1,0.727532384298066,0.9375977071391349,0.44768161133181295,0.8571428571428572,0.6666666666666666,0.75,3,1919,4712
PoG,WebQTest-20,0,54,28,1,0.2630841990324777,0.20580682407544157,0.20744129732714758,0.4735837809750391,0.5094339622641509,0.5185185185185185,5,1896,5673
PoG,WebQTest-21,1,6,4,1,0.5031676623362601,0.5099730194800404,0.37953384418901664,0.6926994906621393,0.6,0.6666666666666666,2,1450,5809
PoG,WebQTest-22,1,2,2,1,0.8051108704768044,0.9697273944261896,0.5240963855421686,1.0,1.0,1.0,2,1992,3420
PoG,WebQTest-23,1,2,2,1,0.3315239278881596,4.110996916752316e-05,0.6667009249743063,1.0,1.0,1.0,1,1946,4837
PoG,WebQTest-24,1,2,2,1,0.8632212332580723,0.9445050284744941,0.6882096349990378,1.0,1.0,1.0,2,1834,6442
PoG,WebQTest-26,1,18,10,1,0.639670436439647,0.9611526148477209,0.31532680661914175,0.713021798223592,0.5294117647058824,0.5555555555555556,8,1980,3361
PoG,WebQTest-28,0,4,2,1,0.27480189473005523,0.0008417508417508416,0.4478114478114478,1.0,0.3333333333333333,0.5,1,396,480
PoG,WebQTest-31,0,6,4,1,0.5909178373970044,0.7014172064263601,0.3139639639639639,0.9032258064516129,0.6,0.6666666666666666,2,370,678
PoG,WebQTest-32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1953,2153
PoG,WebQTest-33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1997,3733
PoG,WebQTest-34,1,6,4,1,0.2318250844907531,0.0006342159505311556,0.33934517203107656,0.9032258064516128,0.6,0.6666666666666666,1,901,1397
PoG,WebQTest-35,1,2,2,1,0.9486569134219093,0.9655664321904665,0.8940363940016005,1.0,1.0,1.0,2,1402,2340
PoG,WebQTest-36,0,9,5,1,0.22284233558176672,0.0002716210343328989,0.3074508667729007,0.90625,0.5,0.5555555555555556,1,1534,3828
PoG,WebQTest-37,1,4,3,1,0.761011893447074,0.9376109467455621,0.5249361874927486,0.8571428571428572,0.6666666666666666,0.75,3,1690,4200
PoG,WebQTest-38,0,4,3,1,0.7315264608025845,0.9722761247664223,0.4296687303640732,0.8571428571428572,0.6666666666666666,0.75,3,1546,3495
PoG,WebQTest-39,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1905,4812
PoG,WebQTest-41,1,2,2,1,0.28889267658086915,0.0003875968992248062,0.5,1.0,1.0,1.0,1,645,1511
PoG,WebQTest-42,0,26,11,1,0.41284400974149316,0.41905826848929845,0.20010004616571875,0.8246575342465754,0.4,0.4230769230769231,3,1723,6595
PoG,WebQTest-43,1,4,3,1,0.7698869494884706,0.9003015075376882,0.5795129493621956,0.8571428571428572,0.6666666666666666,0.75,3,995,1391
PoG,WebQTest-44,0,4,3,1,0.6164076855105113,0.6964095156014158,0.451870202594957,0.7467532467532467,0.6666666666666666,0.75,2,1774,4588
PoG,WebQTest-45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1552,6255
PoG,WebQTest-46,0,4,3,1,0.29507660529796165,0.00010849909584086795,0.5616582278481013,0.9285714285714286,0.6666666666666666,0.75,1,1975,3790
PoG,WebQTest-47,1,2,2,1,0.915346340757547,0.9375885896527285,0.8328946036245823,1.0,1.0,1.0,2,1411,3829
PoG,WebQTest-48,0,7,5,1,0.6426396132991001,0.7148104558640006,0.4289475026133958,0.8778409090909092,0.6666666666666666,0.7142857142857143,3,431,672
PoG,WebQTest-49,1,14,5,1,0.6269794686507227,0.9227822560821478,0.23897516362069562,0.8947368421052633,0.3076923076923077,0.35714285714285715,4,1400,2739
