agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
ToG,WebQTest-832_c334509bb5e02cacae1ba2e80c176499,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,189,227
ToG,WebQTrn-1259_1997cb4922db71983be26e6a509950f4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,784,1124
ToG,WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,1,6,4,1,0.7373519588683479,0.8726127445552685,0.5206870792501536,0.8647642679900746,0.6,0.6666666666666666,3,1260,2990
ToG,WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1991,3496
ToG,WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,62
ToG,WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,1,6,6,1,0.7927319319220077,0.8895560800726736,0.5650306589985673,1.0,0.8,1.0,4,1862,3778
ToG,WebQTest-590_6aad73acb74f304bc9acae44314164be,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,241,437
ToG,WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,1,6,6,1,0.8454437777377433,0.9474033742912135,0.7118897873614856,0.8823529411764706,0.8,1.0,5,1889,3794
ToG,WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,1,12,6,1,0.5489571662641659,0.7567665083485775,0.25154444711406737,0.7562556526982214,0.5454545454545454,0.5,3,1027,1695
ToG,WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,1,12,4,1,0.5601294534486516,0.866774429405034,0.16873289574088204,0.8630053082890975,0.36363636363636365,0.3333333333333333,3,1925,2437
ToG,WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,0,17,10,1,0.5257630152354826,0.7002595219866914,0.25261063435219244,0.7358742660244014,0.5625,0.5882352941176471,4,1168,2547
ToG,WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,1,9,5,1,0.5854110082656476,0.9003382949932339,0.2260906439993139,0.7684659090909091,0.5,0.5555555555555556,4,1478,2016
ToG,WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,191,273
ToG,WebQTrn-849_586aae7703d62aa44eb79759e1563309,1,6,5,1,0.32751479778824305,0.0001195857549448711,0.6676897371373487,0.9705882352941176,0.6,0.8333333333333334,1,1991,3655
ToG,WebQTrn-710_c264a6d11d7956741926d417b94327e2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,132,162
ToG,WebQTrn-2209_c1374f388d9cc7a78365860c91218362,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1188,2121
ToG,WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,2245
ToG,WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1984,3844
ToG,WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,0,6,4,1,0.5460486785581764,0.5055689920830342,0.3841948435124289,0.9032258064516129,0.6,0.6666666666666666,2,333,385
ToG,WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,5674
ToG,WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1942,3879
ToG,WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,649,1461
ToG,WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1987,4071
ToG,WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,1,12,5,1,0.625916006241368,0.9162350700014797,0.27880784950654736,0.7989496364126045,0.36363636363636365,0.4166666666666667,4,1144,2949
