agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
ToG,WebQTest-832_c334509bb5e02cacae1ba2e80c176499,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,189,227
ToG,WebQTrn-1259_1997cb4922db71983be26e6a509950f4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,784,1124
ToG,WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,1,11,7,1,0.49929688567848485,0.5159189192348702,0.28408843778517967,0.8667582417582418,0.6,0.6363636363636364,3,1260,2990
ToG,WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,1,12,6,1,0.6098834236218413,0.8798861386892819,0.2403176731910551,0.8773216609487755,0.36363636363636365,0.5,4,1991,3496
ToG,WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,0,11,4,1,0.49511520967069733,0.6079776036014083,0.19292549555707453,0.9064644275911882,0.4,0.36363636363636365,2,38,62
ToG,WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1862,3778
ToG,WebQTest-590_6aad73acb74f304bc9acae44314164be,0,6,4,1,0.5625431044845765,0.5762224303552969,0.40620439808646447,0.797962648556876,0.6,0.6666666666666666,2,241,437
ToG,WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,1,6,3,1,0.6184349045427945,0.6847704044774046,0.39606493735662607,0.8846153846153846,0.4,0.5,2,1889,3794
ToG,WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1027,1695
ToG,WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,1,9,5,1,0.5333505705736108,0.695142547572407,0.22497719432117608,0.8522727272727273,0.5,0.5555555555555556,3,1925,2437
ToG,WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1168,2547
ToG,WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,0,6,2,1,0.6890624533335823,0.9001353179972934,0.3284796737120967,1.0,0.2,0.3333333333333333,2,1478,2016
ToG,WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,0,16,5,1,0.3589160295393913,0.4329510466934959,0.08802356020942409,0.8616240829749555,0.26666666666666666,0.3125,2,191,273
ToG,WebQTrn-849_586aae7703d62aa44eb79759e1563309,1,16,7,1,0.4850404545442985,0.5907819597134879,0.1819687583128075,0.9192729216786955,0.4,0.4375,3,1991,3655
ToG,WebQTrn-710_c264a6d11d7956741926d417b94327e2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,132,162
ToG,WebQTrn-2209_c1374f388d9cc7a78365860c91218362,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1188,2121
ToG,WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,2245
ToG,WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,0,6,4,1,0.5979378772489071,0.9600806451612902,0.2007628367003367,0.8064516129032259,0.6,0.6666666666666666,4,1984,3844
ToG,WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,333,385
ToG,WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,5674
ToG,WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,0,18,9,1,0.5204427164101069,0.7736943540383974,0.1956799114351466,0.7378984651711924,0.5294117647058824,0.5,5,1942,3879
ToG,WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,649,1461
ToG,WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,0,14,6,1,0.36988249332001993,0.4318117210910834,0.0884139765619383,0.931297709923664,0.38461538461538464,0.42857142857142855,2,1987,4071
