agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
ToG,WebQTest-0,1,6,3,1,0.5815774705417895,0.9615962115962117,0.18638638638638638,0.7692307692307692,0.4,0.5,3,1998,4000
ToG,WebQTest-1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1959,3389
ToG,WebQTest-3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1550,1770
ToG,WebQTest-6,1,6,4,1,0.659393531626175,0.8582502768549279,0.38424653511862816,0.8064516129032258,0.6,0.6666666666666666,4,516,760
ToG,WebQTest-7,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,915,1363
ToG,WebQTest-8,1,6,4,1,0.6932549032819986,0.8495180071484473,0.47823567920294346,0.7878411910669976,0.6,0.6666666666666666,3,1867,3389
ToG,WebQTest-9,1,6,3,1,0.6683895905868227,0.9412997903563941,0.3606999198922807,0.7692307692307692,0.4,0.5,3,1431,3635
ToG,WebQTest-12,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1756,4262
ToG,WebQTest-13,1,6,4,1,0.6487312746041736,0.8544070571389869,0.33713032581453634,0.8647642679900744,0.6,0.6666666666666666,3,1900,3980
ToG,WebQTest-14,1,6,3,1,0.6957444237740226,0.8601190476190476,0.4057701361726785,0.9230769230769231,0.4,0.5,3,144,263
ToG,WebQTest-16,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1984,4813
ToG,WebQTest-19,1,6,3,1,0.6269944449470954,0.7079448210870388,0.3604349134394937,0.9615384615384615,0.4,0.5,2,1919,4712
ToG,WebQTest-20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1896,5673
ToG,WebQTest-21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1450,5809
ToG,WebQTest-22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1992,3420
ToG,WebQTest-23,1,11,6,1,0.5405985165239107,0.6857078558493046,0.2634822012519854,0.8054511278195489,0.5,0.5454545454545454,3,1946,4837
ToG,WebQTest-24,1,6,4,1,0.647073125984527,0.8614129313900403,0.3643266644488436,0.7878411910669976,0.6,0.6666666666666666,3,1834,6442
ToG,WebQTest-26,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1980,3361
ToG,WebQTest-28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,396,480
ToG,WebQTest-31,0,12,6,1,0.4983676282925483,0.5185801192661381,0.2641087516087515,0.9065420560747663,0.45454545454545453,0.5,2,370,678
ToG,WebQTest-32,0,6,3,1,0.6608358531767948,0.7456989648734668,0.4036151257719423,0.9615384615384617,0.4,0.5,2,1953,2153
ToG,WebQTest-33,1,2,2,1,0.8127123306894412,0.9706176912427464,0.5409638848516678,1.0,1.0,1.0,2,1997,3733
ToG,WebQTest-34,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,901,1397
ToG,WebQTest-35,1,6,3,1,0.586448800986156,0.6789248199115686,0.29801213133386684,0.9615384615384616,0.4,0.5,2,1402,2340
ToG,WebQTest-36,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1534,3828
ToG,WebQTest-37,1,12,7,1,0.5703573754666923,0.9213371857807391,0.17497872916424953,0.8090515686981609,0.5454545454545454,0.5833333333333334,5,1690,4200
ToG,WebQTest-38,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1546,3495
ToG,WebQTest-39,0,12,6,1,0.5934269555434957,0.7300225644905779,0.36402008493403853,0.7562556526982214,0.45454545454545453,0.5,3,1905,4812
ToG,WebQTest-41,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,645,1511
ToG,WebQTest-42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1723,6595
ToG,WebQTest-43,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,995,1391
ToG,WebQTest-44,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1774,4588
ToG,WebQTest-45,1,6,4,1,0.46911047491588415,0.5215599610523615,0.2049359575132771,0.9032258064516129,0.6,0.6666666666666666,2,1552,6255
