agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
ToG,WebQTest-0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1998,4000
ToG,WebQTest-1,0,6,4,1,0.717217402001783,0.8726860378642073,0.4730863990340799,0.8647642679900744,0.6,0.6666666666666666,3,1959,3389
ToG,WebQTest-3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1550,1770
ToG,WebQTest-6,1,11,5,1,0.6042450387907923,0.8762112403100775,0.22915705682619,0.8863179074446681,0.4,0.45454545454545453,4,516,760
ToG,WebQTest-7,1,6,3,1,0.6951172827799919,0.923329129886507,0.4322587880270777,0.7692307692307692,0.4,0.5,3,915,1363
ToG,WebQTest-8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1867,3389
ToG,WebQTest-9,1,12,7,1,0.6047547359604918,0.7862644011469521,0.30894701230131,0.8349066723878996,0.5454545454545454,0.5833333333333334,4,1431,3635
ToG,WebQTest-12,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1756,4262
ToG,WebQTest-13,1,6,4,1,0.7017005850519673,0.9630409356725147,0.39736986697513016,0.8064516129032259,0.6,0.6666666666666666,4,1900,3980
ToG,WebQTest-14,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,144,263
ToG,WebQTest-16,1,6,4,1,0.558931647441493,0.8596153991973053,0.16991772564353205,0.8647642679900746,0.6,0.6666666666666666,3,1984,4813
ToG,WebQTest-19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1919,4712
ToG,WebQTest-20,0,12,7,1,0.44882896674721656,0.4464410806056109,0.2334593295827473,0.8728813559322034,0.5454545454545454,0.5833333333333334,2,1896,5673
ToG,WebQTest-21,1,6,4,1,0.676421265174216,0.873550161680451,0.38125670498084285,0.8647642679900744,0.6,0.6666666666666666,3,1450,5809
ToG,WebQTest-22,1,6,4,1,0.58749094708939,0.9688127510040161,0.17943649598393574,0.8064516129032258,0.6,0.6666666666666666,4,1992,3420
ToG,WebQTest-23,1,10,6,1,0.5294326414556619,0.6890982347381346,0.24956491949297707,0.7795180722891566,0.5555555555555556,0.6,3,1946,4837
ToG,WebQTest-24,1,6,4,1,0.5841533978465636,0.6420728010913652,0.34704225201530997,0.903225806451613,0.6,0.6666666666666666,2,1834,6442
ToG,WebQTest-26,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1980,3361
ToG,WebQTest-28,0,17,7,1,0.46050387146327143,0.5615214365903184,0.22901366578336288,0.7148473635522664,0.375,0.4117647058823529,3,396,480
ToG,WebQTest-31,0,6,4,1,0.5933505676144173,0.7080521270028932,0.3139639639639639,0.9032258064516129,0.6,0.6666666666666666,2,370,678
ToG,WebQTest-32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1953,2153
ToG,WebQTest-33,1,6,4,1,0.5716849153987444,0.8289282694550135,0.20750558991151588,0.8647642679900746,0.6,0.6666666666666666,3,1997,3733
ToG,WebQTest-34,1,12,5,1,0.1927237767315944,0.0007927699381639445,0.2160254038722407,0.8936170212765957,0.36363636363636365,0.4166666666666667,1,901,1397
ToG,WebQTest-35,1,18,5,1,0.4580578668195353,0.6577487778820663,0.12416539825816703,0.839517625231911,0.4117647058823529,0.2777777777777778,3,1402,2340
ToG,WebQTest-36,0,6,4,1,0.6245130682869907,0.6886250211426279,0.3977362783444538,0.9032258064516129,0.6,0.6666666666666666,2,1534,3828
ToG,WebQTest-37,1,2,2,1,0.8937507051957124,0.9375739644970414,0.7747534516765286,1.0,1.0,1.0,2,1690,4200
ToG,WebQTest-38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1546,3495
ToG,WebQTest-39,0,6,4,1,0.727754763067706,0.8734238260683255,0.5883632920957682,0.7109181141439206,0.6,0.6666666666666666,3,1905,4812
ToG,WebQTest-41,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,645,1511
ToG,WebQTest-42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1723,6595
ToG,WebQTest-43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,995,1391
ToG,WebQTest-44,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1774,4588
ToG,WebQTest-45,1,6,3,1,0.5366986704666595,0.7183314176035307,0.2049359575132771,0.8846153846153846,0.4,0.5,2,1552,6255
ToG,WebQTest-46,0,6,4,1,0.2779825354497419,0.00014466546112115727,0.5087561692878149,0.903225806451613,0.6,0.6666666666666666,1,1975,3790
ToG,WebQTest-47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1411,3829
ToG,WebQTest-48,0,6,4,1,0.7484373374199602,0.9237908263430306,0.5356564935451247,0.8064516129032258,0.6,0.6666666666666666,4,431,672
ToG,WebQTest-49,1,18,8,1,0.5703015159800531,0.8606110572456868,0.25320135662036525,0.6921553782540328,0.47058823529411764,0.4444444444444444,5,1400,2739
ToG,WebQTest-51,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,158,192
ToG,WebQTest-52,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1906,6874
ToG,WebQTest-54,0,6,4,1,0.5330745818066891,0.4728759344187984,0.38603209618535295,0.9032258064516129,0.6,0.6666666666666666,2,1566,3225
ToG,WebQTest-55,0,6,4,1,0.6537959185286589,0.8614813424252143,0.3424946344201003,0.8647642679900744,0.6,0.6666666666666666,3,1127,2914
ToG,WebQTest-56,1,6,3,1,0.6455225213560152,0.9445862884160756,0.31174783293932234,0.7692307692307693,0.4,0.5,3,1175,1665
ToG,WebQTest-58,0,6,4,1,0.7216845436520237,0.8686384613646081,0.530050705939204,0.7878411910669975,0.6,0.6666666666666666,3,886,1565
ToG,WebQTest-59,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1149,1811
ToG,WebQTest-60,1,6,4,1,0.7280634586868896,0.8701060926548014,0.5007247746896074,0.8647642679900744,0.6,0.6666666666666666,3,1763,4438
ToG,WebQTest-61,0,6,4,1,0.6011774250276606,0.9730271353517848,0.19937792251169006,0.8064516129032258,0.6,0.6666666666666666,4,1996,3570
ToG,WebQTest-62,1,6,4,1,0.6838318111546288,0.871685162494043,0.4378047971979861,0.7878411910669975,0.6,0.6666666666666666,3,935,1351
ToG,WebQTest-63,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1887,3577
ToG,WebQTest-64,1,6,4,1,0.6260478459389675,0.6420677030528098,0.4436315957160013,0.9032258064516129,0.6,0.6666666666666666,2,1943,6139
ToG,WebQTest-65,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,4388
ToG,WebQTest-66,1,6,4,1,0.663179935371742,0.9524783328464306,0.32480877517090784,0.8064516129032258,0.6,0.6666666666666666,4,1956,4297
ToG,WebQTest-67,1,4,3,1,0.813073515765638,0.9092617908407382,0.6810021415284574,0.8571428571428571,0.6666666666666666,0.75,3,1596,2872
ToG,WebQTest-68,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,944,1520
ToG,WebQTest-69,1,6,2,1,0.6887153199033857,0.9446417998815867,0.2981721621994596,1.0,0.2,0.3333333333333333,2,563,841
ToG,WebQTest-71,1,11,7,1,0.5213188234368663,0.6177909207850603,0.2636716197158876,0.8310439560439561,0.6,0.6363636363636364,3,881,2112
ToG,WebQTest-72,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1261,3455
ToG,WebQTest-73,1,12,5,1,0.4932952742270865,0.6702826799941998,0.16314382896015547,0.872340425531915,0.36363636363636365,0.4166666666666667,2,49,56
ToG,WebQTest-74,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1867,3389
ToG,WebQTest-75,1,6,3,1,0.6929442903933479,0.9169246646026832,0.3573163011334565,0.9230769230769231,0.4,0.5,3,969,2399
ToG,WebQTest-76,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,3819
ToG,WebQTest-77,1,6,3,1,0.5847489919382854,0.9524526318304538,0.1962479790377432,0.7692307692307692,0.4,0.5,3,1993,4688
ToG,WebQTest-78,0,6,4,1,0.7599330302342632,0.9093201880087126,0.5767388022555043,0.8064516129032258,0.6,0.6666666666666666,4,1586,2851
ToG,WebQTest-79,0,6,3,1,0.6809449569283623,0.9445323951920258,0.38504209071491396,0.7692307692307693,0.4,0.5,3,1895,4323
ToG,WebQTest-80,1,12,4,1,0.4982740299385721,0.6301331160749895,0.18292581895303775,0.9113924050632912,0.2727272727272727,0.3333333333333333,2,1202,1935
ToG,WebQTest-82,1,6,4,1,0.5046802783845401,0.46333752261662514,0.3282878934204987,0.9032258064516129,0.6,0.6666666666666666,2,1923,4187
ToG,WebQTest-83,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1316,2882
ToG,WebQTest-84,1,12,6,1,0.3166017674165863,0.2835285661302882,0.10631255381922387,0.8878504672897196,0.5454545454545454,0.5,2,1389,4941
