<<<<<<< HEAD
varied,delta,w_S,w_I,w_E,winner,agee_bfs,agee_greedy,agee_llm_react,agee_random_walk
w_S,-0.2,0.2,0.4666666666666667,0.33333333333333337,llm_react,0.6594272038692319,0.6471017109906593,0.7505993184848426,0.5404972816613492
w_S,-0.1,0.30000000000000004,0.4083333333333333,0.2916666666666667,greedy,0.6457716242501821,0.6656039599892316,0.664548283761461,0.5309898009292492
w_S,0.0,0.4,0.35,0.25,greedy,0.6322589193824834,0.6843670063846568,0.5837346094740394,0.521566683294589
w_S,0.1,0.5,0.2916666666666667,0.20833333333333334,greedy,0.6188890892661355,0.7033908501769354,0.5081582956225784,0.5122279287573689
w_S,0.2,0.6000000000000001,0.23333333333333325,0.16666666666666663,greedy,0.6056621339011379,0.7226754913660663,0.4378193422070771,0.5029735373175889
w_I,-0.2,0.5230769230769231,0.14999999999999997,0.3269230769230769,greedy,0.6532897001741603,0.7751132063386182,0.49977428236342425,0.5676097476193176
w_I,-0.1,0.4615384615384615,0.24999999999999997,0.28846153846153844,greedy,0.6427313005787241,0.729034131801697,0.5409399682337658,0.544344807723664
w_I,0.0,0.4,0.35,0.25,greedy,0.6322589193824834,0.6843670063846568,0.5837346094740394,0.521566683294589
w_I,0.1,0.3384615384615385,0.44999999999999996,0.21153846153846154,greedy,0.6218725565854376,0.6411118300874975,0.6281582060842448,0.4992753743320917
w_I,0.2,0.2769230769230769,0.55,0.17307692307692304,llm_react,0.6115722121875874,0.599268602910219,0.6742107580643822,0.4774708808361729
w_E,-0.2,0.5066666666666667,0.4433333333333333,0.04999999999999999,greedy,0.5739507955406041,0.6272972889312254,0.49319306169457183,0.44583599003221086
w_E,-0.1,0.45333333333333337,0.3966666666666666,0.15,greedy,0.6027523248824882,0.6555216170280569,0.5375106251393753,0.4829591494218824
w_E,0.0,0.4,0.35,0.25,greedy,0.6322589193824834,0.6843670063846568,0.5837346094740394,0.521566683294589
w_E,0.1,0.3466666666666667,0.30333333333333334,0.35,greedy,0.6624705790405895,0.7138334570010251,0.6318650146985642,0.5616585916503302
w_E,0.2,0.2933333333333334,0.25666666666666665,0.45,greedy,0.6933873038568065,0.7439209688771616,0.6819018408129492,0.6032348744891066
=======
varied,delta,w_S,w_I,w_E,winner,agee_bfs,agee_greedy,agee_llm_react,agee_random_walk
w_S,-0.2,0.2,0.4666666666666667,0.33333333333333337,llm_react,0.6594272038692319,0.6471017109906593,0.7505993184848426,0.5404972816613492
w_S,-0.1,0.30000000000000004,0.4083333333333333,0.2916666666666667,greedy,0.6457716242501821,0.6656039599892316,0.664548283761461,0.5309898009292492
w_S,0.0,0.4,0.35,0.25,greedy,0.6322589193824834,0.6843670063846568,0.5837346094740394,0.521566683294589
w_S,0.1,0.5,0.2916666666666667,0.20833333333333334,greedy,0.6188890892661355,0.7033908501769354,0.5081582956225784,0.5122279287573689
w_S,0.2,0.6000000000000001,0.23333333333333325,0.16666666666666663,greedy,0.6056621339011379,0.7226754913660663,0.4378193422070771,0.5029735373175889
w_I,-0.2,0.5230769230769231,0.14999999999999997,0.3269230769230769,greedy,0.6532897001741603,0.7751132063386182,0.49977428236342425,0.5676097476193176
w_I,-0.1,0.4615384615384615,0.24999999999999997,0.28846153846153844,greedy,0.6427313005787241,0.729034131801697,0.5409399682337658,0.544344807723664
w_I,0.0,0.4,0.35,0.25,greedy,0.6322589193824834,0.6843670063846568,0.5837346094740394,0.521566683294589
w_I,0.1,0.3384615384615385,0.44999999999999996,0.21153846153846154,greedy,0.6218725565854376,0.6411118300874975,0.6281582060842448,0.4992753743320917
w_I,0.2,0.2769230769230769,0.55,0.17307692307692304,llm_react,0.6115722121875874,0.599268602910219,0.6742107580643822,0.4774708808361729
w_E,-0.2,0.5066666666666667,0.4433333333333333,0.04999999999999999,greedy,0.5739507955406041,0.6272972889312254,0.49319306169457183,0.4458359900322108
w_E,-0.1,0.45333333333333337,0.3966666666666666,0.15,greedy,0.6027523248824882,0.6555216170280569,0.5375106251393753,0.4829591494218824
w_E,0.0,0.4,0.35,0.25,greedy,0.6322589193824834,0.6843670063846568,0.5837346094740394,0.521566683294589
w_E,0.1,0.3466666666666667,0.30333333333333334,0.35,greedy,0.6624705790405895,0.7138334570010251,0.6318650146985642,0.5616585916503302
w_E,0.2,0.2933333333333334,0.25666666666666665,0.45,greedy,0.6933873038568065,0.7439209688771616,0.6819018408129492,0.6032348744891066
>>>>>>> ee75ed4bd00f2a7e1791cc7bf4c8e28871e4e378
