topology,n,trial,n_nodes,n_edges,traj_length,t_graph_gen_s,t_trajectory_s,t_agee_init_s,t_agee_compute_s,t_total_s,mem_delta_gb,agee,S,I,E
BA,1000,0,1000,2991,100,0.0574021339416503,0.0004549026489257,0.0720846652984619,0.0009770393371582,0.1309187412261963,0.0084541439999999,0.6491857927936201,0.8771036328971243,0.2981211816272419,0.9216288897426046
BA,1000,1,1000,2991,100,0.0043261051177978,0.0003888607025146,0.0395784378051757,0.000899314880371,0.0451927185058593,8.191999999999922e-05,0.6112096519106732,0.9157288214530628,0.2137986400198491,0.9001441961067052
BA,1000,2,1000,2991,100,0.00408935546875,0.0003573894500732,0.0387060642242431,0.0009026527404785,0.0440554618835449,2.0480000000003277e-05,0.6538367706981341,0.9162624729272392,0.2903631470588571,0.8995884773662551
BA,5000,0,5000,14991,500,0.0231204032897949,0.0015511512756347,0.288895845413208,0.0033845901489257,0.3169519901275635,0.0076308479999999,0.6421551647862677,0.8778718453799693,0.2746391882073811,0.9459156079391804
BA,5000,1,5000,14991,500,0.0223867893218994,0.0015451908111572,0.2566821575164795,0.0034353733062744,0.2840495109558105,0.0006922239999999,0.6348704856607471,0.897179946568917,0.2439263699923768,0.9607772308204297
BA,10000,0,10000,29991,1000,0.0544736385345459,0.0035297870635986,0.665477991104126,0.0061008930206298,0.7295823097229004,0.0084213759999999,0.6373855581824941,0.873341312110638,0.2579078007283619,0.9746206289861444
BA,10000,1,10000,29991,1000,0.0487377643585205,0.0028431415557861,0.6772739887237549,0.0061016082763671,0.7349565029144287,0.002347008,0.6537132533859,0.8969844956664829,0.2711674487049248,0.9795472825462485
BA,50000,0,50000,149991,2000,0.4356129169464111,0.0082247257232666,7.054606199264526,0.0184662342071533,7.516910076141357,0.0598302719999999,0.6840749574624557,0.7908916564823179,0.4165939431878355,0.9639749914494552
BA,100000,0,100000,299991,2000,1.0389981269836426,0.0095500946044921,21.84851622581482,0.0201892852783203,22.917253732681274,0.125014016,0.7081010942733353,0.7475048592313369,0.5428211588686922,0.9046793530603434
ER,1000,0,1000,2940,100,0.003657579421997,0.0004081726074218,0.0539805889129638,0.0011408329010009,0.0591871738433837,4.096000000008981e-06,0.7394880260981219,0.8917383683698619,0.4872283970196469,0.9055515501081473
ER,1000,1,1000,3060,100,0.0031783580780029,0.0003719329833984,0.0475931167602539,0.000845193862915,0.0519886016845703,0.0,0.74900218496715,0.9323059838550048,0.4710368220668222,0.9140332993544004
ER,1000,2,1000,2963,100,0.0031402111053466,0.0003271102905273,0.0442943572998046,0.0008127689361572,0.0485744476318359,0.0,0.7412421078278623,0.8866059624108779,0.4972491825396825,0.902572347266881
ER,5000,0,5000,14981,500,0.0170526504516601,0.001462697982788,0.3008465766906738,0.0028653144836425,0.3222272396087646,1.2288000000026944e-05,0.7524305905000308,0.8966869132750134,0.4865636969763566,0.9565930909986052
ER,5000,1,5000,15050,500,0.0165240764617919,0.0015077590942382,0.3077485561370849,0.0027031898498535,0.3284835815429687,-0.026058752,0.7512412152867398,0.8803065161174575,0.4882326737518035,0.975238013917944
ER,10000,0,10000,30106,1000,0.036630630493164,0.0029125213623046,0.7516422271728516,0.0063905715942382,0.7975759506225586,0.0,0.708596643049498,0.7677153216029846,0.4903294697168679,0.9700044557864462
ER,10000,1,10000,29954,1000,0.0363264083862304,0.0028614997863769,0.7473850250244141,0.0060105323791503,0.7925834655761719,0.0,0.7011984345636832,0.746279310662908,0.4929243470931856,0.9690125357378492
ER,50000,0,50000,150022,2000,0.4126150608062744,0.0079405307769775,6.887914419174194,0.0218195915222167,7.330289602279663,0.026710016,0.7528835904748606,0.6985582154473685,0.6649620654112748,0.98375647323462
ER,100000,0,100000,299666,2000,0.9348976612091064,0.0094087123870849,21.355411052703857,0.0190577507019042,22.318775177001957,0.079921152,0.7012278301863152,0.5296424344874421,0.7444055775077637,0.955006069325181
WS,1000,0,1000,3000,100,0.0032265186309814,0.0003585815429687,0.0247020721435546,0.0007028579711914,0.0289900302886962,0.0,0.6137787668266782,0.7768227472314364,0.3357002619047618,0.8324838600067959
WS,1000,1,1000,3000,100,0.0026886463165283,0.00030517578125,0.0233900547027587,0.0006754398345947,0.0270593166351318,0.0,0.59382203475572,0.7548420912555005,0.3402993452380952,0.7666666666666666
WS,1000,2,1000,3000,100,0.0027832984924316,0.0002973079681396,0.0235075950622558,0.0006537437438964,0.0272419452667236,0.0,0.5754445572850712,0.7193836709280035,0.3025252976190475,0.8230598669623059
WS,5000,0,5000,15000,500,0.0138044357299804,0.0014171600341796,0.1594653129577636,0.0023925304412841,0.177079439163208,4.096000000008981e-06,0.6409859580354128,0.8930670266328072,0.3265543506349204,0.7928108952891268
WS,5000,1,5000,15000,500,0.0138370990753173,0.0012094974517822,0.1489953994750976,0.0024330615997314,0.1664750576019287,0.0,0.6343118084155455,0.8894149425469426,0.3187585338095237,0.7856786249197633
WS,10000,0,10000,30000,1000,0.0321276187896728,0.0024745464324951,0.3839044570922851,0.0044922828674316,0.4229989051818847,1.2287999999971431e-05,0.6491152831472308,0.8829203327568858,0.3260825815873012,0.8460968264998842
WS,10000,1,10000,30000,1000,0.030566930770874,0.0025372505187988,0.369075059890747,0.0044796466827392,0.4066588878631592,0.0,0.6558285345652105,0.9215890566054368,0.3188820837301583,0.8331376292187443
WS,50000,0,50000,150000,2000,0.2450950145721435,0.0057969093322753,4.22335410118103,0.0097858905792236,4.484031915664673,0.001851392,0.6696658333103891,0.913783312707032,0.3660115400515868,0.8043719556224339
WS,100000,0,100000,300000,2000,0.5067794322967529,0.0066146850585937,16.027653217315674,0.0107142925262451,16.551761627197266,0.0520724479999999,0.6650324664251405,0.8829512354263119,0.3761095537023811,0.8098998395858632
SBM,1000,0,1000,1450,100,0.0109679698944091,0.0003893375396728,0.0268776416778564,0.0008854866027832,0.0391204357147216,1.2287999999999188e-05,0.6868529208767452,0.7471856901710145,0.5205553571428573,0.8499583217560434
SBM,1000,1,1000,1479,100,0.0096259117126464,0.0003716945648193,0.0276806354522705,0.0006980895996093,0.0383763313293457,0.0,0.680851240190966,0.7040552298050812,0.523275359307359,0.893576191806494
SBM,1000,2,1000,1472,100,0.0094461441040039,0.0004076957702636,0.0259573459625244,0.0008285045623779,0.0366396903991699,4.096000000008981e-06,0.681503645587275,0.7591874169637761,0.513115726190476,0.8193476198711802
SBM,5000,0,5000,27251,500,0.2190256118774414,0.0019807815551757,0.3466424942016601,0.0034432411193847,0.5710921287536621,0.0,0.6626104259233814,0.8413034142983796,0.3561924764982575,0.9080715223759974
SBM,5000,1,5000,27190,500,0.2067854404449463,0.0017812252044677,0.3288490772247314,0.0029261112213134,0.540341854095459,0.0,0.6458324746849976,0.8305592206888259,0.3576850333097887,0.8447317910900091
SBM,10000,0,10000,104229,1000,0.7994894981384277,0.0038535594940185,1.0129094123840332,0.0077769756317138,1.8240294456481931,8.191999999990207e-06,0.5815647509461874,0.8312025421251138,0.2152086556277072,0.8877833056937534
SBM,10000,1,10000,104707,1000,0.8086116313934326,0.0039176940917968,1.099910020828247,0.0078601837158203,1.9202995300292969,0.0,0.5919805524370618,0.8657718773108094,0.223514470339946,0.8592894115282175
SBM,50000,0,50000,1269492,2000,19.63946843147278,0.0127367973327636,15.315706253051758,0.026320457458496,34.9942319393158,0.268828672,0.5961419533261737,0.8445920809200643,0.229003848436384,0.8987443294318153
SBM,100000,0,100000,2543995,2000,76.27877235412598,0.0190114974975585,46.47586154937744,0.0326728820800781,122.80631828308104,0.441163776,0.6850403216249137,0.8657815857794702,0.4062004323446342,0.8642572495551266
BA,1000000,0,1000000,2999991,2000,11.743817329406738,0.0508222579956054,2961.926509618759,0.0401268005371093,2974.066519021988,0.768282624,0.7600226338613009,0.6774006221447819,0.7653557544399913,0.894002164237559
ER,1000000,0,1000000,3001478,2000,9.239616632461548,0.0385339260101318,2919.064442396164,0.0159730911254882,2928.6895990371704,0.858779648,0.6741375352318901,0.4189943336594419,0.8261708168735455,0.9526612314125222
WS,1000000,0,1000000,3000000,2000,5.54238748550415,0.0157310962677001,5910.644712924957,0.0157444477081298,5916.438938379288,0.767676416,0.639075099953647,0.8075278982635735,0.3905263757482147,0.7832187748786203
