system,question_id,n_subgraph,trajectory_len,hit,agee,S,I,E
ToG,0,5,5,1,0.7030499987246199,1.0,0.29,1.0
ToG,1,7,3,1,0.588418909566282,0.42857142857142855,0.5317460317460317,1.0
ToG,2,21,7,1,0.3117361111111111,0.11111111111111108,0.25,1.0
ToG,3,14,9,1,0.5283189862430557,0.6428571428571429,0.19902319902319904,1.0
ToG,4,8,3,1,0.42864298489924696,0.1875,0.4375,1.0
ToG,5,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
ToG,6,4307,11,1,0.5445080041931745,0.7000566695390171,0.24258487212339402,0.8526315789473684
ToG,7,5,4,1,0.6699402553641818,0.8,0.3625,1.0
ToG,8,10,7,1,0.574122386129957,0.7,0.24444444444444446,1.0
ToG,9,9,3,1,0.5518995592166313,0.3333333333333333,0.5601851851851852,1.0
ToG,10,4468,10,0,0.5901905471002846,0.8514181814578193,0.2047043720626927,0.927710843373494
ToG,11,34,10,1,0.5686406239168962,0.7327661200961246,0.24117647058823527,0.92
ToG,12,4439,8,1,0.3792515630514522,0.21557933200411641,0.35874170805357253,0.7777777777777778
ToG,13,5,5,1,0.7030499987246199,1.0,0.29,1.0
ToG,14,448,9,1,0.2044431429991369,0.00669642857142857,0.21464395943562609,1.0
ToG,15,4942,9,1,0.3452448619465633,0.18913673599963232,0.21853219569225235,1.0
ToG,16,10,7,1,0.574122386129957,0.7,0.24444444444444446,1.0
ToG,17,5,4,0,0.6699402553641818,0.8,0.3625,1.0
ToG,18,11,3,1,0.5258665562484781,0.2727272727272727,0.5787878787878787,1.0
ToG,19,15,9,1,0.5134730417061304,0.6,0.20052910052910053,1.0
ToG,20,10,3,1,0.5379035228737238,0.3,0.5703703703703704,1.0
ToG,21,41,8,0,0.5958478352910933,0.7016228229184612,0.2850342319212666,1.0
ToG,22,11,3,1,0.5258665562484781,0.2727272727272727,0.5787878787878787,1.0
ToG,23,777,11,1,0.5819503714447196,0.6897958460598639,0.2991697130486368,0.915492957746479
ToG,24,16,9,1,0.5001993662601841,0.5625,0.20185185185185184,1.0
ToG,25,77,10,1,0.5651480185041287,0.7046268318110407,0.2317946146517575,0.98
ToG,26,273,12,1,0.6944514180119361,0.9063423410038542,0.4100832587526732,0.8346456692913384
ToG,27,26,9,0,0.48070819270706955,0.4689133123680867,0.2343175343175343,1.0
ToG,28,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
ToG,29,24,9,1,0.42873494080564656,0.375,0.20853462157809982,1.0
ToG,30,33,6,1,0.6041744803206552,0.7058160632459259,0.3828282828282828,0.8076923076923077
ToG,31,12,5,1,0.3946731010976529,0.20833333333333334,0.3125,1.0
ToG,32,1077,10,1,0.6469220669191115,0.8761606313834726,0.3118242319426164,0.8795180722891567
ToG,33,17,8,1,0.5813546726293353,0.7054370969823744,0.25431839402427636,1.0
ToG,34,5346,8,1,0.6788381377524361,0.8755592416402983,0.3911305179406311,0.8518518518518519
ToG,35,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
ToG,36,495,9,1,0.370727259741537,0.2384513547505972,0.21835016835016838,1.0
ToG,37,6,5,1,0.6544318058580619,0.8333333333333334,0.3066666666666667,1.0
ToG,38,10,3,1,0.5379035228737238,0.3,0.5703703703703704,1.0
ToG,39,4058,9,1,0.21691532646398629,0.0003168344715905089,0.2521236192850723,1.0
ToG,40,67,8,1,0.6975778467604624,0.8340303038488462,0.4669600714376833,0.8518518518518519
ToG,41,5,4,1,0.6699402553641818,0.8,0.3625,1.0
ToG,42,672,5,1,0.5424683246237356,0.42050996023956283,0.5247170092344355,0.8
ToG,44,5,5,1,0.7030499987246199,1.0,0.29,1.0
ToG,45,14,7,1,0.5894853867618701,0.7455380299191111,0.24263038548752833,1.0
ToG,46,5258,5,1,0.5735414875157165,0.3814043591884172,0.6709325196663746,0.8
ToG,47,46,11,1,0.5857874631637443,0.765560760346752,0.2533791359462256,0.9154929577464789
ToG,48,18,6,1,0.5342550383076887,0.5164817928649184,0.34973544973544973,0.8947368421052633
ToG,49,15,9,1,0.5134730417061304,0.6,0.20052910052910053,1.0
