agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
GraphCoT,WebQTest-832_c334509bb5e02cacae1ba2e80c176499,0,6,2,1,0.6882418987347495,0.9010582010582009,0.32622739018087854,1.0,0.2,0.3333333333333333,2,189,227
GraphCoT,WebQTrn-1259_1997cb4922db71983be26e6a509950f4,0,2,2,1,0.9566716557937099,0.9002551020408162,0.9918386527543348,1.0,1.0,1.0,2,784,1124
GraphCoT,WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,0,4,2,1,0.7101914836506946,0.9001587301587299,0.3711309523809524,1.0,0.3333333333333333,0.5,2,1260,2990
GraphCoT,WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,0,2,2,1,0.35033201822790916,5.0226017076845854e-05,0.7439728779507785,1.0,1.0,1.0,1,1991,3496
GraphCoT,WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,0,2,2,1,0.34755581594254026,0.013157894736842105,0.7039473684210527,1.0,1.0,1.0,1,38,62
GraphCoT,WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1862,3778
GraphCoT,WebQTest-590_6aad73acb74f304bc9acae44314164be,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,241,437
GraphCoT,WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,1,3,3,1,0.815671960154619,0.6827351207966862,0.9502318002223112,0.8571428571428572,1.0,1.0,2,1889,3794
GraphCoT,WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1027,1695
GraphCoT,WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,0,2,2,1,0.9526750424355711,0.9412375859434683,0.9325,1.0,1.0,1.0,2,1925,2437
GraphCoT,WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,0,4,3,1,0.7991312790891806,0.8891742770167427,0.6644683703799432,0.8571428571428572,0.6666666666666666,0.75,3,1168,2547
GraphCoT,WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,0,2,2,1,0.9498412511159018,0.8890392422192152,0.98543902113629,1.0,1.0,1.0,2,1478,2016
GraphCoT,WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,0,4,2,1,0.26520003317712293,0.0013089005235602095,0.4131762652705061,1.0,0.3333333333333333,0.5,1,191,273
GraphCoT,WebQTrn-849_586aae7703d62aa44eb79759e1563309,1,3,3,1,0.34636283962974895,7.533902561526878e-05,0.7274919678234596,1.0,1.0,1.0,1,1991,3655
GraphCoT,WebQTrn-710_c264a6d11d7956741926d417b94327e2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,132,162
GraphCoT,WebQTrn-2209_c1374f388d9cc7a78365860c91218362,0,6,3,1,0.6396032455662631,0.7427395249965064,0.3946986201888163,0.8846153846153846,0.4,0.5,2,1188,2121
GraphCoT,WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,987,2245
GraphCoT,WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1984,3844
GraphCoT,WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,0,2,2,1,0.9669876007850718,0.9290004290004288,0.9875623655151214,1.0,1.0,1.0,2,333,385
GraphCoT,WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,5674
GraphCoT,WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,0,6,3,1,0.5076597508883351,0.6938570931077496,0.24730103558759584,0.6740890688259109,0.4,0.5,2,1942,3879
GraphCoT,WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,649,1461
GraphCoT,WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1987,4071
GraphCoT,WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1144,2949
GraphCoT,WebQTest-538_49b4e9304f18a0a1cbe37bb162f61131,0,2,2,1,0.2959212348413219,0.013513513513513514,0.5,1.0,1.0,1.0,1,37,52
GraphCoT,WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,134,210
GraphCoT,WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,1,2,2,1,0.9754581912877541,0.9474249533608458,0.9903652794715037,1.0,1.0,1.0,2,1862,4108
GraphCoT,WebQTrn-1770_8db36acba886620a06031d39165d78de,0,6,2,1,0.6901153639912625,0.9707659498844855,0.2843083401995789,1.0,0.2,0.3333333333333333,2,331,592
GraphCoT,WebQTrn-1817_89670933168c3f4e5195a241f9d46e76,0,4,2,1,0.21622499999999997,0.0033057851239669416,0.25,1.0,0.3333333333333333,0.5,1,121,170
GraphCoT,WebQTrn-849_1eb0f1ddd5074471fbe3a7f6b575f202,1,2,2,1,0.3201639617737243,6.278252134605726e-05,0.6210805768816818,1.0,1.0,1.0,1,1991,3916
GraphCoT,WebQTrn-2152_92fba37c9723caee68665ad9a5e4a468,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1821,2790
GraphCoT,WebQTrn-3376_0619d288bbed0ca782e60c6f841a6051,0,6,2,1,0.19421300499152427,0.014285714285714285,0.16666666666666666,1.0,0.2,0.3333333333333333,1,35,56
GraphCoT,WebQTrn-567_693feb48c0515cd069014e7ca2846b37,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1387,4800
GraphCoT,WebQTrn-1077_0c34ca057060e35aa5c74fbbca682dee,0,4,2,1,0.7725855652963022,0.9168104687949381,0.4938779842304622,1.0,0.3333333333333333,0.5,2,1159,1554
GraphCoT,WebQTest-1686_29e74083744b3631541b29b4094fb273,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1827,4632
