agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
GraphCoT,WebQTest-832_c334509bb5e02cacae1ba2e80c176499,0,5,4,1,0.5696131741459554,0.5301118462940512,0.39147286821705424,0.9565217391304347,0.75,0.8,2,189,227
GraphCoT,WebQTrn-1259_1997cb4922db71983be26e6a509950f4,0,5,3,1,0.6855448829426899,0.7347290018098357,0.4758681141629584,0.95,0.75,0.6,2,784,1124
GraphCoT,WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,1,2,2,1,0.9052523653037137,0.9001587301587299,0.8460884353741497,1.0,1.0,1.0,2,1260,2990
GraphCoT,WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,1,3,3,1,0.7704373452007349,0.704832463395307,0.7868874849101659,0.8571428571428572,1.0,1.0,2,1991,3496
GraphCoT,WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,0,3,3,1,0.29807653680593715,0.019736842105263157,0.4692982456140351,1.0,1.0,1.0,1,38,62
GraphCoT,WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,1,2,2,1,0.967997584194995,0.928648150989719,0.9908957557445015,1.0,1.0,1.0,2,1862,3778
GraphCoT,WebQTest-590_6aad73acb74f304bc9acae44314164be,0,4,3,1,0.7080629749859928,0.7451961959716858,0.5318983402489627,0.9285714285714286,0.6666666666666666,0.75,2,241,437
GraphCoT,WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,1,2,2,1,0.9746179238613975,0.9615791831249746,0.9715583957246212,1.0,1.0,1.0,2,1889,3794
GraphCoT,WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,0,6,4,1,0.5718853550433036,0.5358119266485691,0.5323282203029039,0.6926994906621392,0.6,0.6666666666666666,2,1027,1695
GraphCoT,WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,0,2,2,1,0.9734239807003221,0.9412375859434683,0.9917480237959416,1.0,1.0,1.0,2,1925,2437
