agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
GraphCoT,WebQTest-0,0,2,2,1,0.7937967167319837,0.9600400400400398,0.5062370062370063,1.0,1.0,1.0,2,1998,4000
GraphCoT,WebQTest-1,0,2,2,1,0.376342913815259,6.80619363620895e-05,0.8541347626339969,1.0,1.0,1.0,1,1959,3389
GraphCoT,WebQTest-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1550,1770
GraphCoT,WebQTest-6,0,5,3,1,0.6686791256337772,0.8579734219269103,0.4081888653981677,0.8,0.5,0.6,3,516,760
GraphCoT,WebQTest-7,0,8,3,1,0.6314646423217709,0.9093889716840536,0.25494887244107334,0.8947368421052633,0.2857142857142857,0.375,3,915,1363
GraphCoT,WebQTest-8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1867,3389
GraphCoT,WebQTest-9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1431,3635
GraphCoT,WebQTest-12,0,4,2,1,0.717615789616455,0.9524351881982858,0.34894646924829154,1.0,0.3333333333333333,0.5,2,1756,4262
GraphCoT,WebQTest-13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1900,3980
GraphCoT,WebQTest-14,0,7,3,1,0.6714880639446371,0.8601190476190476,0.34780297386229586,0.9375,0.3333333333333333,0.42857142857142855,3,144,263
GraphCoT,WebQTest-16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1984,4813
GraphCoT,WebQTest-19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1919,4712
GraphCoT,WebQTest-20,1,2,2,1,0.9106983496908718,0.9583772855133614,0.7983074415036441,1.0,1.0,1.0,2,1896,5673
GraphCoT,WebQTest-21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1450,5809
GraphCoT,WebQTest-22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1992,3420
GraphCoT,WebQTest-23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1946,4837
GraphCoT,WebQTest-24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1834,6442
GraphCoT,WebQTest-26,0,4,3,1,0.567093660190513,0.680779433726469,0.2707351290684624,0.9285714285714286,0.6666666666666666,0.75,2,1980,3361
GraphCoT,WebQTest-28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,396,480
GraphCoT,WebQTest-31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,370,678
GraphCoT,WebQTest-32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1953,2153
GraphCoT,WebQTest-33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1997,3733
GraphCoT,WebQTest-34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,901,1397
GraphCoT,WebQTest-35,1,2,2,1,0.9470806805974902,0.9615933282124438,0.8940363940016005,1.0,1.0,1.0,2,1402,2340
GraphCoT,WebQTest-36,0,6,2,1,0.21526838618171956,0.00011852554225435585,0.2470664928292047,1.0,0.2,0.3333333333333333,1,1534,3828
GraphCoT,WebQTest-37,0,2,2,1,0.9071695184946931,0.9334122287968442,0.815158371040724,1.0,1.0,1.0,2,1690,4200
GraphCoT,WebQTest-38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1546,3495
GraphCoT,WebQTest-39,0,6,3,1,0.6301100378839704,0.7261190874970915,0.35249343832021,0.9615384615384616,0.4,0.5,2,1905,4812
GraphCoT,WebQTest-41,0,7,3,1,0.6356860652513339,0.9004651162790696,0.302125850340136,0.8125,0.3333333333333333,0.42857142857142855,3,645,1511
GraphCoT,WebQTest-42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1723,6595
GraphCoT,WebQTest-43,1,2,2,1,0.9356599995632308,0.9002010050251255,0.9313877077696173,1.0,1.0,1.0,2,995,1391
GraphCoT,WebQTest-44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1774,4588
GraphCoT,WebQTest-45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1552,6255
GraphCoT,WebQTest-46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1975,3790
GraphCoT,WebQTest-47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1411,3829
GraphCoT,WebQTest-48,0,6,2,1,0.681083535035292,0.9336426914153132,0.2909126063418407,1.0,0.2,0.3333333333333333,2,431,672
GraphCoT,WebQTest-49,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1400,2739
GraphCoT,WebQTest-51,1,5,3,1,0.20876339538008526,0.003164556962025316,0.26371308016877637,0.9,0.5,0.6,1,158,192
GraphCoT,WebQTest-52,1,2,2,1,0.91597012750533,0.9524309199020633,0.8187303252885625,1.0,1.0,1.0,2,1906,6874
GraphCoT,WebQTest-54,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1566,3225
GraphCoT,WebQTest-55,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1127,2914
GraphCoT,WebQTest-56,1,4,2,1,0.7559762970813971,0.9500851063829787,0.4302600472813239,1.0,0.3333333333333333,0.5,2,1175,1665
GraphCoT,WebQTest-58,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,886,1565
GraphCoT,WebQTest-59,0,2,2,1,0.8200665150172125,0.9286957602884494,0.5955420172130355,1.0,1.0,1.0,2,1149,1811
GraphCoT,WebQTest-60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1763,4438
GraphCoT,WebQTest-61,0,2,2,1,0.7973903591514813,0.9706177060002358,0.5056731109277378,1.0,1.0,1.0,2,1996,3570
GraphCoT,WebQTest-62,0,2,2,1,0.9147545277839195,0.9232414644179351,0.8468531468531468,1.0,1.0,1.0,2,935,1351
GraphCoT,WebQTest-63,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1887,3577
GraphCoT,WebQTest-64,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,6139
GraphCoT,WebQTest-65,0,2,2,1,0.7910575064984301,0.960041173443129,0.5,1.0,1.0,1.0,2,1943,4388
GraphCoT,WebQTest-66,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1956,4297
GraphCoT,WebQTest-67,1,4,3,1,0.7494899219432952,0.7302933279796282,0.6537693949974652,0.9285714285714286,0.6666666666666666,0.75,2,1596,2872
GraphCoT,WebQTest-68,0,6,3,1,0.6120063579692111,0.7262526844097655,0.3145009416195857,0.9615384615384615,0.4,0.5,2,944,1520
GraphCoT,WebQTest-69,1,7,3,1,0.6458832024834836,0.9414899174589907,0.26948969734663986,0.875,0.5,0.42857142857142855,3,563,841
GraphCoT,WebQTest-71,0,7,3,1,0.48733356789088356,0.7080531685642875,0.20579582570826285,0.6576086956521738,0.3333333333333333,0.42857142857142855,2,881,2112
