agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
GraphCoT,WebQTest-0,1,2,2,1,0.8103739951151939,0.9615769615769616,0.5432432432432432,1.0,1.0,1.0,2,1998,4000
GraphCoT,WebQTest-1,0,6,4,1,0.6698777509469933,0.6781446668157423,0.5162092337360332,0.903225806451613,0.6,0.6666666666666666,2,1959,3389
GraphCoT,WebQTest-3,0,2,2,1,0.28889267658086915,5.865102639296182e-05,0.5,1.0,1.0,1.0,1,1550,1770
GraphCoT,WebQTest-6,1,2,2,1,0.9220677110795117,0.875484496124031,0.9214587737843551,1.0,1.0,1.0,2,516,760
GraphCoT,WebQTest-7,0,2,2,1,0.9380070938617125,0.9168488160291438,0.9188524590163935,1.0,1.0,1.0,2,915,1363
GraphCoT,WebQTest-8,1,4,3,1,0.5959427345652892,0.6891123337216832,0.4091791644349223,0.7467532467532467,0.6666666666666666,0.75,2,1867,3389
GraphCoT,WebQTest-9,0,6,4,1,0.20483652006936842,0.00014711831990878648,0.249980588555012,0.903225806451613,0.6,0.6666666666666666,1,1431,3635
GraphCoT,WebQTest-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1756,4262
GraphCoT,WebQTest-13,0,4,3,1,0.23680062387086076,6.578947368421047e-05,0.3454605263157895,0.9285714285714286,0.6666666666666666,0.75,1,1900,3980
GraphCoT,WebQTest-14,1,2,2,1,0.8941461845080113,0.8591269841269841,0.8613782051282051,1.0,1.0,1.0,2,144,263
GraphCoT,WebQTest-16,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1984,4813
GraphCoT,WebQTest-19,0,4,3,1,0.7074840737963711,0.9445312952347866,0.39840514522366366,0.8571428571428572,0.6666666666666666,0.75,3,1919,4712
GraphCoT,WebQTest-20,1,2,2,1,0.28889267658086915,4.5863144377178464e-05,0.5,1.0,1.0,1.0,1,1896,5673
GraphCoT,WebQTest-21,0,4,3,1,0.6042955298627464,0.7261602676943943,0.3967816091954023,0.7467532467532467,0.6666666666666666,0.75,2,1450,5809
GraphCoT,WebQTest-22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1992,3420
GraphCoT,WebQTest-23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1946,4837
GraphCoT,WebQTest-24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1834,6442
GraphCoT,WebQTest-26,0,6,4,1,0.20471818894914245,7.215007215007212e-05,0.2496071829405163,0.903225806451613,0.6,0.6666666666666666,1,1980,3361
GraphCoT,WebQTest-28,0,8,5,1,0.22493024479629584,0.002104377104377104,0.3218644781144781,0.8888888888888888,0.5714285714285714,0.625,1,396,480
GraphCoT,WebQTest-31,0,2,2,1,0.8714488709123429,0.9005405405405403,0.754054054054054,1.0,1.0,1.0,2,370,678
GraphCoT,WebQTest-32,0,3,2,1,0.8159932068721871,0.8572891522200278,0.6536204205146988,1.0,0.5,0.6666666666666666,2,1953,2153
GraphCoT,WebQTest-33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1997,3733
GraphCoT,WebQTest-34,0,4,3,1,0.2437638534311242,0.00047566196289836667,0.36972807991120976,0.9285714285714286,0.6666666666666666,0.75,1,901,1397
GraphCoT,WebQTest-35,1,2,2,1,0.9470806805974902,0.9615933282124438,0.8940363940016005,1.0,1.0,1.0,2,1402,2340
