<<<<<<< HEAD
question_id,agent,question,topic,answer_pred,answer_gold,hit,agee,coverage,info_rate,efficiency,usr,traj_length,n_unique,n_nodes_graph,n_edges_graph,n_communities,shrinkage_lambda,skip_reason
0,llm_react,who starred together with [Mike Patton],Mike Patton,Karen Black,Karen Black,1,0.380775463175438,0.0023148148148148147,0.8732638888888888,1.0,1.0,2,2,432,431,2,0.0,
0,random_walk,who starred together with [Mike Patton],Mike Patton,The Pyx,Karen Black,0,0.20419850195400235,0.006944444444444444,0.26643518518518516,0.8554216867469879,0.6,10,6,432,431,2,0.0,
0,greedy,who starred together with [Mike Patton],Mike Patton,The Call of Cthulhu,Karen Black,0,0.49649895807661415,0.503639881770963,0.2732571954484605,0.9047619047619049,0.7,10,7,432,431,2,0.7407407407407405,
0,bfs,who starred together with [Mike Patton],Mike Patton,Doom,Karen Black,0,0.5132181149606251,0.5115740740740741,0.2760515076177727,0.9714285714285715,1.0,10,10,432,431,2,1.0,
1,random_walk,what are the main languages in [Maurizio Lucidi] written films,Maurizio Lucidi,Starship Troopers,Italian,0,0.5054214814447912,0.5148282579056344,0.2828004348112244,0.9047619047619049,0.7,10,7,2039,2175,4,0.19900497512437812,
1,greedy,what are the main languages in [Maurizio Lucidi] written films,Maurizio Lucidi,Italian,Italian,1,0.6056384726287453,0.6538232080905326,0.36408495895876836,0.9494736842105262,0.8,10,8,2039,2175,4,0.3469387755102041,
1,bfs,what are the main languages in [Maurizio Lucidi] written films,Maurizio Lucidi,The French Connection,Italian,0,0.6119733076828995,0.5938959927127749,0.4555525068150164,0.9047619047619049,1.0,10,10,2039,2175,4,0.19753086419753094,
2,llm_react,who acted together with [Gunnel Lindblom],Gunnel Lindblom,Harriet Andersson,Bibi Andersson|Ingrid Thulin|Harriet Andersson,1,0.3954534967453038,1.557838654650536e-05,0.9373057569927483,1.0,1.0,2,2,6757,8442,19,0.0,
2,random_walk,who acted together with [Gunnel Lindblom],Gunnel Lindblom,The Wall,Bibi Andersson|Ingrid Thulin|Harriet Andersson,0,0.5001791071661333,0.4716016481722071,0.3393507304828027,0.8365079365079364,0.7,10,7,6757,8442,19,0.17840375586854465,
2,greedy,who acted together with [Gunnel Lindblom],Gunnel Lindblom,1981,Bibi Andersson|Ingrid Thulin|Harriet Andersson,0,0.7866386655253931,0.9279159378404026,0.5620170847019788,0.9156626506024097,0.9,10,9,6757,8442,19,0.7683823529411767,
2,bfs,who acted together with [Gunnel Lindblom],Gunnel Lindblom,Mai Zetterling,Bibi Andersson|Ingrid Thulin|Harriet Andersson,0,0.5317009857239964,0.3107916372766172,0.6390810556840941,0.8200000000000001,1.0,10,10,6757,8442,19,0.06219911419218174,
3,random_walk,who starred in the movies written by [Jerry LaMothe],Jerry LaMothe,Basquiat,Amber Tamblyn|Jeffrey Wright|Katie Stuart,0,0.23991195902549492,0.0005449591280653949,0.3461021449032348,0.9518072289156626,0.6,10,6,2202,2355,5,0.0,
3,greedy,who starred in the movies written by [Jerry LaMothe],Jerry LaMothe,2007,Amber Tamblyn|Jeffrey Wright|Katie Stuart,0,0.6698584750092698,0.8007266121707539,0.39490688634454774,0.9259816207184628,0.8,10,8,2202,2355,5,1.0,
3,bfs,who starred in the movies written by [Jerry LaMothe],Jerry LaMothe,Rigoberto Castañeda,Amber Tamblyn|Jeffrey Wright|Katie Stuart,0,0.4998926338507064,0.2229802948421986,0.6531720610880923,0.8857142857142857,1.0,10,10,2202,2355,5,0.03225806451612902,
4,random_walk,the screenwriter [Aaron Lipstadt] co-wrote films with who,Aaron Lipstadt,Android,James Reigle,0,0.2199261103087818,0.014204545454545454,0.2909659090909091,0.8648648648648648,0.5,10,5,176,185,2,0.0,
4,greedy,the screenwriter [Aaron Lipstadt] co-wrote films with who,Aaron Lipstadt,The Incubus,James Reigle,0,0.5015337185814266,0.5154243935554748,0.27403958944281526,0.9047619047619048,0.7,10,7,176,185,2,0.7407407407407405,
4,bfs,the screenwriter [Aaron Lipstadt] co-wrote films with who,Aaron Lipstadt,The World According to Garp,James Reigle,0,0.5305419547073155,0.5183434692346673,0.3309638156320708,0.9142857142857143,1.0,10,10,176,185,2,0.5833333333333335,
5,random_walk,what types are the movies written by [Rob Williams],Rob Williams,Pure Luck,Comedy,0,0.5042168320504548,0.5948550105074032,0.28546888781863206,0.7366609294320138,0.6,10,6,4416,4819,8,0.26666666666666666,
5,greedy,what types are the movies written by [Rob Williams],Rob Williams,Terminator Salvation,Comedy,0,0.6299227586058123,0.8257159516537662,0.2998652272027086,0.9104308390022675,0.9,10,9,4416,4819,8,0.5631067961165049,
5,bfs,what types are the movies written by [Rob Williams],Rob Williams,Rio,Comedy,0,0.5817490532413623,0.710557942049471,0.29421046622072905,0.888888888888889,1.0,10,10,4416,4819,8,0.3026004728132388,
6,llm_react,the scriptwriter of [The World of Apu] also wrote which films,The World of Apu,Pather Panchali,Charulata|Ashani Sanket|Pather Panchali,1,0.39068541071822555,2.840231308437764e-06,0.9163867855398145,1.0,1.0,2,2,16376,38868,43,0.0,
